empId,SSN,Hire Date,fName,mName,lName,Gender,Birthday,Marital Status,Age,"Address(street Address, State Zip Code)"
82,575-68-8990,4/30/18,Elton,    Arden,Douglas,male,19970908,single,26,"53291 Gaylord Lock Suite 257 Beerbury, HI 78594-9121"
9,696-09-8196,5/4/20,Abigail,    Jordan,Hoeger,female,19761031,married,47,"5597 McLaughlin Well Hamillport, VA 54804"
22,520-12-3714,5/29/20,Kellen,    Sutton,Purdy,male,19850930,married,38,"577 Sigmund Vista Apt. 943 Maggioport, WY 12175"
19,037-40-4069,10/6/20,Murl,    Shae,Heaney,male,19770225,married,47,"5861 Turcotte Ferry New Dejon, RI 73421"
59,355-16-5576,12/23/20,Chanel,    Marion,Connelly,female,19841005,married,39,"5940 Wuckert Square Apt. 696 Wunschshire, IL 99367"
95,578-23-5929,10/31/08,Eloise,    Kit,Roberts,female,19790723,married,44,"595 Linwood Well Suite 432 Torphyburgh, DC 80953"
34,046-88-5808,12/29/08,Ettie,    Jackie,Nicolas,female,19840712,married,39,"6189 Aron Cliffs Maryjaneton, CT 71808-3237"
11,680-26-7603,7/6/09,Maxwell,    Morgan,Abshire,male,19860522,married,37,"62101 Runte Lane Mistyville, NV 63239-6691"
76,426-75-2519,4/26/10,Bethel,    Merrill,Satterfield,female,19770725,married,46,"63251 Kylee Cape West Hortense, MS 09469-4364"
35,235-42-3132,6/17/10,Beulah,    Kerry,Prosacco,female,19710915,married,52,"63531 Alysha Circle Apt. 159 Wellingtonburgh, WV 23991"
61,427-15-1130,11/7/11,Johnson,    Alva,Toy,male,19981225,single,26,"643 Eloise Drive Suite 124 North Grace, MS 04018-1267"
75,538-10-9159,2/13/12,Rahul,    Tracy,Gibson,male,19770614,single,46,"643 Farrell Walks Jamelport, WA 98809"
6,537-23-9851,3/12/12,Collin,    Greer,Cartwright,male,19900302,single,33,"6501 Pfeffer Plains Apt. 022 New Jazmyn, WA 38841-2809"
62,544-49-9657,2/7/13,Jaydon,    Ollie,Runolfsson,male,19960816,single,28,"6587 Virgil Dale Suite 800 Mariettamouth, OR 89778"
23,601-61-3809,5/17/13,Kobe,Kai,Kling,male,19911014,single,32,"66443 Jermaine Parks Apt. 648 East Bellafort, AZ 13747"
36,446-58-4050,8/5/13,Chance,    Jodie,White,male,19831027,single,40,"66444 McGlynn Forges Suite 262 South Jay, OK 13154"
100,540-94-0275,10/22/14,Aiyana,    Ocean,Hahn,female,19960620,single,27,"668 Julius Crest Suite 292 Niaborough, OR 30806-5339"
86,424-44-1385,3/27/15,Toby,    Callaway,Lakin,male,19830328,single,40,"683 Brett Lodge Suite 093 Savionhaven, AL 22076-1730"
38,234-35-2342,9/9/15,Lula,    Skylar,Ziemann,male,19770504,single,46,"69751 River Run Schmelerville, WV 67125-0867"
30,482-76-3701,4/27/16,Rosina,Aubrey,Leuschke,female,19911228,single,33,"70111 Elsie Circle Apt. 222 Port Shawnashire, IA 39904"
83,149-42-3367,6/2/16,Yessenia,    Bellamy,Murazik,female,19780317,married,45,"71511 Sipes Road North Paxtonport, NJ 04632-7101"
74,473-32-8350,12/7/16,Magnolia,    Robbie,Jacobi,female,19731029,married,50,"7159 Pete Track Smithfort, MN 58603-1175"
56,764-36-6370,2/16/17,Willa,    Azariah,Walker,female,19971207,married,27,"7318 Mauricio Terrace Apt. 320 Dulcefort, AZ 52036"
14,405-08-4885,7/22/19,Kim,    Quinn,Bradtke,male,19761113,married,47,"73929 Lang Valley Port Jaleelburgh, KY 12302"
72,504-18-5481,4/29/20,Ardella,    Jamie,Bernier,female,19970514,married,26,"74330 Kovacek Branch Apt. 602 Lake Casandraberg, SD 27368-1748"
42,751-14-7878,7/14/20,Ursula,    Frankie,Larson,female,19861101,married,37,"7635 Greta Stravenue O'Connellville, HI 35078"
26,222-16-6561,9/8/20,Doyle,Jude,Green,male,19750110,married,49,"7643 Gabrielle Manors West Micah, DE 03760"
94,048-66-4936,11/12/20,Davonte,    Kingsley,Roberts,male,19700409,married,54,"7668 Erick Ramp Suite 959 Port Lyricview, CT 81476"
10,518-86-9623,11/25/20,Rico,    Lennox,Gusikowski,male,19820330,married,41,"768 Lockman Ports Hudsonside, ID 00592"
71,469-30-2217,1/27/21,Tiara,    Sammie,Bradtke,female,19800930,married,43,"77660 Lavina Pines Apt. 931 Rippinport, MN 82261-2748"
1,689-16-5861,1/28/08,Bethel,    Avery,Armstrong,female,19910422,single,33,"7821 Funk Mountain Apt. 313 Sidstad, NC 72888-8208"
65,374-56-0345,4/7/08,Bryon,    Kerry,Batz,male,19770708,married,46,"793 Flatley Pines North Shannonchester, MI 58118-9451"
64,697-09-2757,8/27/08,Janick,    Cleo,Hackett,male,19940216,married,30,"8048 Giles Pass North Jacquelyn, VA 78038"
44,467-98-2554,8/19/09,Garth,    Robbie,Schultz,male,19980308,married,25,"8115 Berge Place Lake Meghanfurt, TX 18671-3595"
32,530-91-4963,9/28/09,Velva,Kyle,Schultz,female,19700728,married,53,"815 Spinka Lane Lemkeland, NV 71569-0374"
51,306-80-8035,7/13/10,Lyda,    Stevie,Hoppe,female,19841119,married,39,"8265 Murazik Summit Friedamouth, IN 21896-0335"
17,424-42-1943,12/15/10,Leopoldo,    Robin,Kertzmann,male,19870617,married,36,"863 Ashleigh Ports Suite 007 North Eunice, AL 56567"
97,015-38-4693,11/7/12,Marisa,    Lexington,Kihn,female,19941014,married,29,"8685 Mills Roads Suite 140 Lake Eudora, MA 35305-1711"
49,008-72-0056,3/22/13,Samanta,    Armani,Blanda,female,19940930,single,29,"8712 Lesch Pass Suite 702 East Jody, VT 09923"
15,009-18-6230,8/7/13,Isobel,    Reese,Predovic,female,19840203,single,40,"87597 Daisha Ports McCulloughfurt, VT 38464"
28,504-06-4013,11/26/14,Deonte,Asa,Ruecker,male,19980421,married,26,"8830 Braxton Extension Apt. 363 Roobview, SD 46422"
91,362-94-0735,5/27/15,Mia,    Hollis,Braun,female,19800226,married,44,"88865 D'Amore Turnpike Apt. 390 New Cristobal, MI 29480-7984"
8,527-03-6114,11/21/16,Zack,    Indigo,Luettgen,male,19720108,married,52,"90245 Vidal Bypass Suite 468 Breannamouth, AZ 55008"
18,469-76-1893,3/9/17,Lauriane,    Sawyer,Orn,female,19950221,married,29,"9039 Hayes Key Apt. 179 Svenberg, MN 52876-1475"
55,392-11-0333,8/21/18,Howard,    Kirby,Rosenbaum,male,19770311,single,46,"9120 Nitzsche Common Apt. 009 Lake Faye, WI 24204"
48,038-50-9151,9/4/18,Sibyl,    Devan,Pagac,female,19920128,single,31,"9236 Reinger Heights Apt. 288 Angieshire, RI 97245"
52,683-10-8734,9/24/18,Annette,    Channing,Champlin,female,19881204,married,36,"92835 Dickinson Plain Suite 800 Port Major, NC 21413-7441"
78,261-93-9594,11/14/18,Alfred,    Rene,Schiller,male,19720831,married,52,"934 Fritsch Course South Nicholausshire, FL 31874-7527"
92,232-52-1804,4/4/19,Bailee,    Honor,D'Amore,female,19820410,married,42,"9408 Waylon Row West Karson, WV 13788"
96,005-34-5275,6/27/19,Ansley,    Landry,Graham,male,19970626,married,26,"9429 Shanelle Port Suite 937 Kozeyton, ME 52544-7509"
87,232-04-5571,8/27/19,Nayeli,    Cove,Klocko,female,19950927,married,28,"9667 Troy Locks Apt. 955 South Emilia, WV 55826"
84,101-14-2902,10/7/20,Hoyt,    Briar,Pagac,male,19900226,married,34,"967 Margret Villages Suite 270 South Kendrick, NY 77200-5709"
70,416-82-6972,11/11/20,Gianni,    Angel,Hettinger,male,19970710,married,26,"978 Travon Alley Sarinatown, AL 63577-4022"
69,520-56-8619,12/17/20,Santa,    Tommie,Schroeder,male,19940107,married,30,"9821 Veum Wall Apt. 715 Port Orrinshire, WY 26187-0483"
5,591-78-2063,7/1/21,Lonzo,    Gray,Ebert,male,19730109,married,51,"99077 Beer Rue Port Ivahton, FL 79693-1217"
